"index"	"video"	"video_type"	"question"	"answer"	"dimensions"	"video_path"
"487"	"L3sO6oaoOq8"	"Knowledge"	"Why do workers need to step on the speed bumps periodically?"	"Because they need to check if there is any malfunction."	"['Causal Reasoning']"	"./video/L3sO6oaoOq8.mp4"
"488"	"DXG3c27tgoA"	"Knowledge"	"According to the video, where else in China is there a building similar to the Pentagon?"	"The Shanghai Pentagon World Trade Mall."	"['OCR', 'Object Recognition']"	"./video/DXG3c27tgoA.mp4"
"489"	"DXG3c27tgoA"	"Knowledge"	"Why does the Pentagon have so many toilets according to the explanation in the video?"	"Originally, it was intended to separate facilities for whites and blacks."	"['Causal Reasoning', 'OCR']"	"./video/DXG3c27tgoA.mp4"
"490"	"24Ymv5A80v4"	"Knowledge"	"What is the purpose of placing bending poles on the road surface in the video?"	"They serve as barriers to prevent attacks from insurgents."	"['Causal Reasoning']"	"./video/24Ymv5A80v4.mp4"
"491"	"24Ymv5A80v4"	"Knowledge"	"How deep is this bending pole inserted into the ground according to the video?"	"50 centimeters."	"['OCR']"	"./video/24Ymv5A80v4.mp4"
"492"	"24Ymv5A80v4"	"Knowledge"	"What happened when the big truck hit the bending pole in the video?"	"The front of the truck completely deformed."	"['Causal Reasoning', 'Event Recognition']"	"./video/24Ymv5A80v4.mp4"
"493"	"mfBNcc33EGA"	"Knowledge"	"Is the process of luggage delivery to the cabin solely done by machines according to the video?"	"No, there is a worker in the cabin responsible for loading the luggage."	"['Human-object Interaction', 'Event Recognition']"	"./video/mfBNcc33EGA.mp4"
"494"	"mfBNcc33EGA"	"Knowledge"	"What's the reason for the airplane's luggage weight limit according to the video?"	"It's related to the balance of the airplane."	"['OCR', 'Causal Reasoning']"	"./video/mfBNcc33EGA.mp4"
"495"	"mfBNcc33EGA"	"Knowledge"	"What caused the deformation of the suitcase that appeared at the end of the video?"	"It was caused by impact during the baggage handling process."	"['Common Sense Reasoning']"	"./video/mfBNcc33EGA.mp4"
"496"	"BbARfF2Gf64"	"Knowledge"	"What brand of car appears at the beginning of the video?"	"Mercedes-Benz."	"['Object Recognition', 'Common Sense Reasoning']"	"./video/BbARfF2Gf64.mp4"
"497"	"BbARfF2Gf64"	"Knowledge"	"What happens when a car passes quickly over the liquid speed bump in the video?"	"It becomes instantly hard, causing the car to shake."	"['Causal Reasoning']"	"./video/BbARfF2Gf64.mp4"
"498"	"BbARfF2Gf64"	"Knowledge"	"Where was the liquid speed bump invented according to the video?"	"Spain."	"['OCR']"	"./video/BbARfF2Gf64.mp4"
"499"	"BbARfF2Gf64"	"Knowledge"	"According to the video, what is the physical property of non-Newtonian fluid?"	"Non-Newtonian fluids become soft when encountering soft objects and become hard when encountering hard objects."	"['Physical Property']"	"./video/BbARfF2Gf64.mp4"
"500"	"wUsKYzArADM"	"Knowledge"	"Where is the beginning of the video located?"	"At a train station platform."	"['Video Scene']"	"./video/wUsKYzArADM.mp4"
"501"	"wUsKYzArADM"	"Knowledge"	"Why do trains draw curtains at night according to the video?"	"For passengers' sleep environment and property safety."	"['OCR', 'Causal Reasoning']"	"./video/wUsKYzArADM.mp4"
"502"	"wUsKYzArADM"	"Knowledge"	"What types of transportation appear in the video?"	"Trains and airplanes."	"['Object Recognition']"	"./video/wUsKYzArADM.mp4"
"503"	"py6OsO_WSqU"	"Knowledge"	"What is being introduced in the video?"	"The material used for railways."	"['Object Recognition']"	"./video/py6OsO_WSqU.mp4"
"504"	"py6OsO_WSqU"	"Knowledge"	"Which element is highlighted on the periodic table in the video?"	"Manganese."	"['Structuralized Image-Text Understanding']"	"./video/py6OsO_WSqU.mp4"
"505"	"py6OsO_WSqU"	"Knowledge"	"Which is cheaper, manganese steel or stainless steel?"	"Stainless steel."	"['Causal Reasoning']"	"./video/py6OsO_WSqU.mp4"
"506"	"GCuLrTUKsuw"	"Knowledge"	"What is the name of the machine that appears at the beginning of the video?"	"A trenching machine."	"['Object Recognition']"	"./video/GCuLrTUKsuw.mp4"
"507"	"GCuLrTUKsuw"	"Knowledge"	"Which country invented this machine according to the video?"	"Germany."	"['OCR']"	"./video/GCuLrTUKsuw.mp4"
"508"	"GCuLrTUKsuw"	"Knowledge"	"What is the world's largest excavator mentioned in the video?"	"The Terex RH400 manufactured in Germany."	"['OCR']"	"./video/GCuLrTUKsuw.mp4"
"509"	"hWlXzBVyvPc"	"Knowledge"	"What is the name of the tool that appears at the beginning of the video?"	"The Janney coupler."	"['OCR']"	"./video/hWlXzBVyvPc.mp4"
"510"	"hWlXzBVyvPc"	"Knowledge"	"What occasion prompted the invention of the Janney coupler according to the video?"	"An American engineer was inspired by seeing children holding hands while playing in the park."	"['OCR', 'Causal Reasoning']"	"./video/hWlXzBVyvPc.mp4"
"511"	"hWlXzBVyvPc"	"Knowledge"	"What type of coupler does the high-speed train use to connect carriages according to the video?"	"The Shibata coupler."	"['OCR']"	"./video/hWlXzBVyvPc.mp4"
"512"	"FJEvdWv2ujU"	"Humor"	"What brands are the two phones that appear in the video?"	"They are counterfeit Apple phones."	"['Object Recognition']"	"./video/FJEvdWv2ujU.mp4"
"513"	"FJEvdWv2ujU"	"Humor"	"What product advertisement is introduced in the video?"	"Opera, a browser extension that automatically organizes browser pages."	"['Common Sense Reasoning']"	"./video/FJEvdWv2ujU.mp4"
"514"	"FJEvdWv2ujU"	"Humor"	"What does the Google store shown in the video sell?"	"Men's clothes."	"['Object Recognition', 'Counterfactual Reasoning']"	"./video/FJEvdWv2ujU.mp4"
"515"	"FJEvdWv2ujU"	"Humor"	"What is in the hand of the man in colorful clothes?"	"A phone."	"['Human-object Interaction']"	"./video/FJEvdWv2ujU.mp4"
"516"	"oJm7MK97UP0"	"Humor"	"How many Barbie dolls appear in the video and what races do they represent?"	"One black-skinned Barbie and three white-skinned Barbies."	"['Object Recognition', 'Attribute Recognition']"	"./video/oJm7MK97UP0.mp4"
"517"	"oJm7MK97UP0"	"Humor"	"What objects is the man at the end of the video introducing?"	"A mouse pad and a water cup."	"['Object Recognition']"	"./video/oJm7MK97UP0.mp4"
"518"	"oJm7MK97UP0"	"Humor"	"Summary of the video's theme"	"This man wanted to buy a birthday present for his child, but all he encountered were fakes."	"['Causal Reasoning', 'Video Topic']"	"./video/oJm7MK97UP0.mp4"
"519"	"oJm7MK97UP0"	"Humor"	"What are the boys doing at two minutes into the video?"	"Holding up a mouse pad"	"['Human-object Interaction']"	"./video/oJm7MK97UP0.mp4"
"520"	"thY2NY63vSc"	"Humor"	"Which movie is the first car shown in the video from?"	"The James Bond series."	"['Common Sense Reasoning']"	"./video/thY2NY63vSc.mp4"
"521"	"thY2NY63vSc"	"Humor"	"Where is the man at the beginning of the video?"	"In a home theater."	"['Video Scene']"	"./video/thY2NY63vSc.mp4"
"522"	"thY2NY63vSc"	"Humor"	"Where does the man driving the car go in the video?"	"He drives to space and crashes into a planet."	"['Video Scene']"	"./video/thY2NY63vSc.mp4"
"523"	"SaXx5nbBj8E_processed"	"Humor"	"What is the man in the suit doing at the beginning of the video?"	"He's holding a spatula and a pot, preparing to cook."	"['Human-object Interaction']"	"./video/SaXx5nbBj8E_processed.mp4"
"524"	"SaXx5nbBj8E_processed"	"Humor"	"Why does the man in the suit hold a potted plant cup?"	"He pretends to drink water using the potted plant cup."	"['Human-object Interaction']"	"./video/SaXx5nbBj8E_processed.mp4"
"525"	"SaXx5nbBj8E_processed"	"Humor"	"What has the man in the suit been doing throughout the video?"	"He's trying to educate others with his own experiences."	"['Video Topic']"	"./video/SaXx5nbBj8E_processed.mp4"
"526"	"Ekui3tG3Dy4"	"Humor"	"What mood is the man in the suit in at the beginning of the video?"	"He appears very shocked and confused."	"['Video Emotion']"	"./video/Ekui3tG3Dy4.mp4"
"527"	"Ekui3tG3Dy4"	"Humor"	"Why is this man in the suit making a phone call?"	"Because he's very angry."	"['Video Emotion']"	"./video/Ekui3tG3Dy4.mp4"
"528"	"Ekui3tG3Dy4"	"Humor"	"Summarize this video clip."	"A man in a suit is playing a game but keeps failing. It shows that he doesn't have a talent for gaming."	"['Video Topic']"	"./video/Ekui3tG3Dy4.mp4"
"529"	"Ekui3tG3Dy4"	"Humor"	"What is the man sitting on the couch doing?"	"He's playing a game."	"['Human-object Interaction']"	"./video/Ekui3tG3Dy4.mp4"
"530"	"-AUhJWxoGBo"	"People"	"Did the first person kicking the ball in the video knock down the water cup?"	"No, he missed by a little bit."	"['Event Recognition', 'Spatial Relationship']"	"./video/-AUhJWxoGBo.mp4"
"531"	"-AUhJWxoGBo"	"People"	"What did the third person do before kicking the ball in the video?"	"He headed the ball and did a flip."	"['Human-object Interaction']"	"./video/-AUhJWxoGBo.mp4"
"532"	"-AUhJWxoGBo"	"People"	"Did the football hit the black woman wearing a pink and black striped skirt in the video?"	"No, the football hit the lamppost and flew over her head."	"['Human-object Interaction']"	"./video/-AUhJWxoGBo.mp4"
"533"	"-AUhJWxoGBo"	"People"	"What's the one thing bloggers do before someone kicks the ball?"	"He'd put a bottle of water on the ground."	"['Human-object Interaction']"	"./video/-AUhJWxoGBo.mp4"
"534"	"al_k5XqJZQw"	"People"	"What's the body shape of the man at the beginning of the video?"	"He is very muscular, 191 centimeters tall and weighs 110 kilograms."	"['Attribute Recognition']"	"./video/al_k5XqJZQw.mp4"
"535"	"al_k5XqJZQw"	"People"	"What are the two men wearing tank tops doing in the video?"	"They are playing basketball and engaging in physical contact."	"['Human Interaction']"	"./video/al_k5XqJZQw.mp4"
"536"	"al_k5XqJZQw"	"People"	"Did the man in the black tank top score on his first shot?"	"No, he didn't score."	"['Event Recognition', 'Spatial Relationship']"	"./video/al_k5XqJZQw.mp4"
"537"	"al_k5XqJZQw"	"People"	"Did the boy in red pick up the boy in black at the end?"	"No."	"['Human-object Interaction']"	"./video/al_k5XqJZQw.mp4"
"538"	"9Y2WPUo2CUc"	"People"	"What is the first person appearing in the video doing?"	"Reading a book."	"['Human-object Interaction']"	"./video/9Y2WPUo2CUc.mp4"
"539"	"9Y2WPUo2CUc"	"People"	"What did the man with glasses in the video give to the person opposite him?"	"Pepsi Cola."	"['Object Recognition']"	"./video/9Y2WPUo2CUc.mp4"
"540"	"9Y2WPUo2CUc"	"People"	"What tool is used to open the coconut in the video?"	"Chopsticks."	"['Object Recognition']"	"./video/9Y2WPUo2CUc.mp4"
"541"	"9Y2WPUo2CUc"	"People"	"What did the young boy in the video do to the coconut?"	"He poked the coconut with a chopstick"	"['Human-object Interaction']"	"./video/9Y2WPUo2CUc.mp4"
"542"	"SEdkof4g8Y8"	"People"	"What is the person wearing blue boxing gloves in the video doing?"	"Punching the opponent's stomach."	"['Human Interaction']"	"./video/SEdkof4g8Y8.mp4"
"543"	"SEdkof4g8Y8"	"People"	"Why did the last person who was hit in the video feel uncomfortable?"	"Because the person with the blue boxing gloves hit his groin."	"['Causal Reasoning']"	"./video/SEdkof4g8Y8.mp4"
"544"	"SEdkof4g8Y8"	"People"	"How many punches did the second person who was hit in the video receive?"	"Four punches."	"['Counting']"	"./video/SEdkof4g8Y8.mp4"
"545"	"SEdkof4g8Y8"	"People"	"What happened to all these people after the beating?"	"They all fell to the ground."	"['Human Motion']"	"./video/SEdkof4g8Y8.mp4"
"546"	"7iCwvwQgiQw"	"People"	"Did the Black person in the video agree to the White person's request?"	"Yes, he agreed."	"['Causal Reasoning']"	"./video/7iCwvwQgiQw.mp4"
"547"	"7iCwvwQgiQw"	"People"	"What is the occupation of the Black person in the video?"	"He is a chef responsible for barbecuing."	"['Identity Reasoning']"	"./video/7iCwvwQgiQw.mp4"
"548"	"7iCwvwQgiQw"	"People"	"Summarize this video."	"The white man wanted to ask the black man to shoot a barbecue video. The black man agreed and introduced him to how to make barbecue."	"['Video Topic']"	"./video/7iCwvwQgiQw.mp4"
"549"	"7iCwvwQgiQw"	"People"	"What's the chef doing with a spray can?"	"He used a spray can to squirt water on the roast."	"['Human-object Interaction']"	"./video/7iCwvwQgiQw.mp4"
"550"	"Eer_CfDgqhY"	"People"	"What does the card held in the hand of the person with the phone in the video represent?"	"Prize money."	"['Object Recognition', 'OCR']"	"./video/Eer_CfDgqhY.mp4"
"551"	"Eer_CfDgqhY"	"People"	"Why did the interviewer in the video become impatient later on?"	"Because he feared he couldn't afford the accumulating prize money."	"['Causal Reasoning']"	"./video/Eer_CfDgqhY.mp4"
"552"	"Eer_CfDgqhY"	"People"	"Did the interviewer in the video pay the prize money in the end?"	"I don't know."	"['Hallucination']"	"./video/Eer_CfDgqhY.mp4"
"553"	"Eer_CfDgqhY"	"People"	"What happened to the blogger at the end of the video?"	"He lay down on the table in despair"	"['Human Motion']"	"./video/Eer_CfDgqhY.mp4"
"554"	"2Ja6H_up6TQ"	"People"	"Is the man wearing a hat in the video the father of the two girls?"	"No, he is just a staff member at the amusement park."	"['Social Relation']"	"./video/2Ja6H_up6TQ.mp4"
"555"	"2Ja6H_up6TQ"	"People"	"What facility does the man with the hat in the video responsible for operating?"	"The drop tower in the amusement park."	"['Identity Reasoning']"	"./video/2Ja6H_up6TQ.mp4"
"556"	"2Ja6H_up6TQ"	"People"	"Did the man with the hat in the video tell the truth about the machine malfunctioning?"	"No, it was just to create panic among the tourists."	"['Common Sense Reasoning']"	"./video/2Ja6H_up6TQ.mp4"
"557"	"2Ja6H_up6TQ"	"People"	"What do the men at the rail do before the game starts?"	"He'll manipulate the machine."	"['Human-object Interaction']"	"./video/2Ja6H_up6TQ.mp4"
"558"	"opf_wezZTic"	"People"	"When slicing the bullet with a knife at the end of the video, does this man have his eyes open?"	"No, his eyes are closed."	"['Attribute Recognition']"	"./video/opf_wezZTic.mp4"
"559"	"opf_wezZTic"	"People"	"Why does the man in the video throw some things into the air?"	"Because he wants to slice them with a knife as they fall."	"['Causal Reasoning']"	"./video/opf_wezZTic.mp4"
"560"	"opf_wezZTic"	"People"	"What did the man in the end of the video slice?"	"A bullet being fired."	"['Object Recognition']"	"./video/opf_wezZTic.mp4"
"561"	"opf_wezZTic"	"People"	"What does this man do before he cuts the fruit?"	"He'd throw fruit in the air."	"['Human-object Interaction']"	"./video/opf_wezZTic.mp4"
"562"	"tn3bGHxJH_M"	"People"	"What is the man with the gun in the video doing?"	"Robbing someone else."	"['Human Interaction']"	"./video/tn3bGHxJH_M.mp4"
"563"	"tn3bGHxJH_M"	"People"	"Was the person being robbed scared?"	"No, he calmly explained what the robber should do."	"['Attribute Recognition']"	"./video/tn3bGHxJH_M.mp4"
"564"	"tn3bGHxJH_M"	"People"	"Summarize this video."	"This is a safety education video on what to do when being robbed."	"['Common Sense Reasoning']"	"./video/tn3bGHxJH_M.mp4"
"565"	"tn3bGHxJH_M"	"People"	"What did the guy who was robbed end up doing to the guy with the gun?"	"He grabbed his gun."	"['Human-object Interaction', 'Human Interaction']"	"./video/tn3bGHxJH_M.mp4"
"566"	"zm5bL2v876s"	"People"	"What are these people in the video doing?"	"The black man wearing a hat is dancing, while the other two people are posing."	"['Human Motion']"	"./video/zm5bL2v876s.mp4"
"567"	"zm5bL2v876s"	"People"	"What vehicle appears in the background at the end of the video?"	"A train."	"['Object Recognition']"	"./video/zm5bL2v876s.mp4"
"568"	"zm5bL2v876s"	"People"	"What does this video want to illustrate?"	"Street dancers are more expressive than social media dancers."	"['Common Sense Reasoning']"	"./video/zm5bL2v876s.mp4"
"569"	"P3bevifVByk"	"Sports"	"Which part of body does the man use to get score?"	"He uses his head to get score."	"['Human-object Interaction']"	"./video/P3bevifVByk.mp4"
"570"	"P3bevifVByk"	"Sports"	"What is the shirt number of the goalkeeper wearing the black jersey?"	"24"	"['Attribute Recognition']"	"./video/P3bevifVByk.mp4"
"571"	"P3bevifVByk"	"Sports"	"What is the name of the team wearing yellow?"	"Wholves"	"['OCR']"	"./video/P3bevifVByk.mp4"
"572"	"37LIKm-JAiU"	"Sports"	"How many offsides happened in the video?"	"There is two offsides in the video."	"['Counting']"	"./video/37LIKm-JAiU.mp4"
"573"	"37LIKm-JAiU"	"Sports"	"What is the name of the team who scored the first goal in the video?"	"Liverpool"	"['Event Recognition']"	"./video/37LIKm-JAiU.mp4"
"574"	"37LIKm-JAiU"	"Sports"	"How many goals were scored in total in the video?"	"2"	"['Counting']"	"./video/37LIKm-JAiU.mp4"
"575"	"iBuTEywEQ6U"	"Sports"	"What is the name of the player who scored the seventh goal in the video?"	"Firmino"	"['OCR']"	"./video/iBuTEywEQ6U.mp4"
"576"	"iBuTEywEQ6U"	"Sports"	"Is the man who scored the first goal use his left leg to get score?"	"No, he used his right leg to get score."	"['Event Recognition', 'Human-object Interaction']"	"./video/iBuTEywEQ6U.mp4"
"577"	"iBuTEywEQ6U"	"Sports"	"How many goals Gakpo  scored in total in the video?"	"2"	"['Counting']"	"./video/iBuTEywEQ6U.mp4"
"578"	"V09H08Q0UQA"	"Sports"	"In the video, which lane is Liu Xiang on?"	"Liu Xiang is on lane 4."	"['Object Recognition']"	"./video/V09H08Q0UQA.mp4"
"579"	"V09H08Q0UQA"	"Sports"	"Which country's athlete is the winner in the video?"	"China"	"['Attribute Recognition', 'OCR']"	"./video/V09H08Q0UQA.mp4"
"580"	"V09H08Q0UQA"	"Sports"	"How long did it takes Liu Xiang to complete the race?"	"12.94s"	"['OCR']"	"./video/V09H08Q0UQA.mp4"
"581"	"6L-WhdPBaiE"	"Sports"	"How many player participate the game?"	"8"	"['Counting']"	"./video/6L-WhdPBaiE.mp4"
"582"	"6L-WhdPBaiE"	"Sports"	"Who is the winner in the video?"	"Bolt"	"['OCR']"	"./video/6L-WhdPBaiE.mp4"
"583"	"6L-WhdPBaiE"	"Sports"	"Did Bolt break the world record in this race?"	"No, he didn't."	"['Event Recognition']"	"./video/6L-WhdPBaiE.mp4"
"584"	"6L-WhdPBaiE"	"Sports"	"What was the crowd doing after Bolt's win?"	"They were holding up the flag and cheering."	"['Human-object Interaction']"	"./video/6L-WhdPBaiE.mp4"
"585"	"Q6k0dMlBJ5E"	"Sports"	"What is the name of the man who scored the goal?"	"Messi"	"['OCR']"	"./video/Q6k0dMlBJ5E.mp4"
"586"	"Q6k0dMlBJ5E"	"Sports"	"What is Messi's emotion after he scored the goal?"	"He is happy and exciting."	"['Attribute Recognition']"	"./video/Q6k0dMlBJ5E.mp4"
"587"	"Q6k0dMlBJ5E"	"Sports"	"Is the goal a close-range shot or a long drive?"	"It's a long drive."	"['Event Recognition']"	"./video/Q6k0dMlBJ5E.mp4"
"588"	"Q6k0dMlBJ5E"	"Sports"	"What are the people in the video doing?"	"They're playing soccer."	"['Human-object Interaction']"	"./video/Q6k0dMlBJ5E.mp4"
"589"	"Era0VAIUATw"	"Sports"	"Who won the second place?"	"Park from Korea won the second place."	"['Event Recognition', 'OCR']"	"./video/Era0VAIUATw.mp4"
"590"	"Era0VAIUATw"	"Sports"	"Did Phelps break up the world record in this game?"	"Yes"	"['Event Recognition']"	"./video/Era0VAIUATw.mp4"
"591"	"Era0VAIUATw"	"Sports"	"Which city and when did the game in the video happened?"	"It is happend in Beijing, 2008."	"['Object Recognition', 'OCR']"	"./video/Era0VAIUATw.mp4"
"592"	"1Nrn1Zrn9SQ"	"Sports"	"Did the man fall or stand still after he scored the goal?"	"He fell after scored the goal."	"['Human Motion']"	"./video/1Nrn1Zrn9SQ.mp4"
"593"	"1Nrn1Zrn9SQ"	"Sports"	"Is the player scored the goal from team BRA or team HON?"	"The player scored the goal is from team BRA."	"['Attribute Recognition', 'OCR']"	"./video/1Nrn1Zrn9SQ.mp4"
"594"	"cL8ZEdTQkVQ"	"Sports"	"What is the Chen's total score?"	"585.30"	"['OCR']"	"./video/cL8ZEdTQkVQ.mp4"
"595"	"cL8ZEdTQkVQ"	"Sports"	"Who winned the golden medal?"	"Chen Aisen."	"['OCR']"	"./video/cL8ZEdTQkVQ.mp4"
"596"	"cL8ZEdTQkVQ"	"Sports"	"What did the Chinese player do to the woman in blue when he came ashore?"	"He hugged the woman."	"['Human-object Interaction']"	"./video/cL8ZEdTQkVQ.mp4"
"597"	"OzR5Wi6Rvts"	"Sports"	"How many player participate the game?"	"8 players participate the game."	"['Counting']"	"./video/OzR5Wi6Rvts.mp4"
"598"	"OzR5Wi6Rvts"	"Sports"	"Which country does the flag that the audience hold belongs to?"	"It belongs to China."	"['Attribute Recognition']"	"./video/OzR5Wi6Rvts.mp4"
"599"	"OzR5Wi6Rvts"	"Sports"	"What happened to these competitors after they crossed the finish line?"	"They hit the cushions."	"['Human-object Interaction']"	"./video/OzR5Wi6Rvts.mp4"
"600"	"RnDYM-EBsXM"	"Sports"	"Who wins, the man with the blue T-shirt or the man with the black T-shirt?"	"The man with the blue T-shirt wins."	"['Event Recognition']"	"./video/RnDYM-EBsXM.mp4"
"601"	"RnDYM-EBsXM"	"Sports"	"Who is the defending player, the man with the blue T-shirt or the man with the black T-shirt?"	"Blue"	"['Common Sense Reasoning', 'Human Motion']"	"./video/RnDYM-EBsXM.mp4"
"602"	"XzWwlBqc7CQ"	"Sports"	"Is the weather hot or cold in the video?"	"The weather is hot."	"['Video Scene', 'Common Sense Reasoning']"	"./video/XzWwlBqc7CQ.mp4"
"603"	"XzWwlBqc7CQ"	"Sports"	"Did the man success or failed?"	"The man get success."	"['Event Recognition']"	"./video/XzWwlBqc7CQ.mp4"
"604"	"XzWwlBqc7CQ"	"Sports"	"What is the emotion of the man after he finish?"	"He is so exciting."	"['Attribute Recognition']"	"./video/XzWwlBqc7CQ.mp4"
"605"	"RM_5tJncHww"	"Sports"	"Why the man take off his clothes?"	"Because he scored a incredible goal and feels so exciting."	"['Event Recognition', 'Causal Reasoning']"	"./video/RM_5tJncHww.mp4"
"606"	"RM_5tJncHww"	"Sports"	"Does the man scored inside or outside the box?"	"He scored outside the box."	"['Event Recognition']"	"./video/RM_5tJncHww.mp4"
"607"	"RM_5tJncHww"	"Sports"	"What is the role of the man who wears red clothes?"	"He is a goalkeeper."	"['Attribute Recognition']"	"./video/RM_5tJncHww.mp4"
"608"	"Y9eDDDZJBBQ"	"Sports"	"What was the mood of the athletes in red in the video after he finished the race?"	"He is very exciting."	"['Attribute Recognition']"	"./video/Y9eDDDZJBBQ.mp4"
"609"	"h_HGD-3C990"	"Sports"	"Is the video an individual sport or a team sport?"	"It's a team sport."	"['Attribute Recognition']"	"./video/h_HGD-3C990.mp4"
"610"	"h_HGD-3C990"	"Sports"	"Is there many live spectators in this video?"	"Yes, there are so many live spectators."	"['Counting']"	"./video/h_HGD-3C990.mp4"
"611"	"h_HGD-3C990"	"Sports"	"How many teams take part in the competition?"	"Eight teams take part in the competition."	"['Counting']"	"./video/h_HGD-3C990.mp4"
"612"	"no9Ajy0tabs"	"Sports"	"Was anyone hurt in the video?"	"Yes, a man in white get hurt and bleeds."	"['Event Recognition']"	"./video/no9Ajy0tabs.mp4"
"613"	"no9Ajy0tabs"	"Sports"	"Is there anyone scored a goal in the video?"	"Yes, there is a goal scored."	"['Event Recognition']"	"./video/no9Ajy0tabs.mp4"
"614"	"_XqIlSc1ubI"	"Sports"	"Which country's athlete won the first place?"	"China's Sun Yang won the first place."	"['Event Recognition']"	"./video/_XqIlSc1ubI.mp4"
"615"	"ccz1kfkdo2o"	"Sports"	"What sport is being played in the video?"	"Diving"	"['Event Recognition']"	"./video/ccz1kfkdo2o.mp4"
"616"	"ccz1kfkdo2o"	"Sports"	"Which country's athlete won the
bronze medal?"	"Germany"	"['OCR', 'Event Recognition']"	"./video/ccz1kfkdo2o.mp4"
"617"	"ccz1kfkdo2o"	"Sports"	"What is Cao Yuan's final total score?"	"547.60"	"['OCR']"	"./video/ccz1kfkdo2o.mp4"
"618"	"6efDPF8XB6M"	"Sports"	"Is there a men's or women's game in the video?"	"There is a women's game"	"['Attribute Recognition']"	"./video/6efDPF8XB6M.mp4"
"619"	"6efDPF8XB6M"	"Sports"	"What is the emotion of the audience?"	"They are so happy."	"['Attribute Recognition']"	"./video/6efDPF8XB6M.mp4"
"620"	"6efDPF8XB6M"	"Sports"	"Did the first athlete who reach the finish line break the world record?"	"No"	"['Event Recognition']"	"./video/6efDPF8XB6M.mp4"
"621"	"zl7A-Vbe5N8"	"Sports"	"What sport is being played in the video?"	"Skating."	"['Human Motion']"	"./video/zl7A-Vbe5N8.mp4"
"622"	"zl7A-Vbe5N8"	"Sports"	"Is there a men's or women's game in the video?"	"There is man's game"	"['Attribute Recognition']"	"./video/zl7A-Vbe5N8.mp4"
"623"	"zl7A-Vbe5N8"	"Sports"	"Which country's athlete won the first place?"	"USA"	"['Attribute Recognition']"	"./video/zl7A-Vbe5N8.mp4"
"624"	"iKPicQRTK6Y"	"Sports"	"What sport is being played in the video?"	"Swimming"	"['Human Motion']"	"./video/iKPicQRTK6Y.mp4"
"625"	"iKPicQRTK6Y"	"Sports"	"Is there a men's or women's game in the video?"	"There is a women's game."	"['Attribute Recognition']"	"./video/iKPicQRTK6Y.mp4"
"626"	"iKPicQRTK6Y"	"Sports"	"How many athletes won bronze medals?"	"Two athletes won bronze medals."	"['Counting']"	"./video/iKPicQRTK6Y.mp4"
"627"	"n-spXyK3uIE"	"Sports"	"Which two countries do the athletes in the video come from?"	"China and Malaysia"	"['Attribute Recognition']"	"./video/n-spXyK3uIE.mp4"
"628"	"n-spXyK3uIE"	"Sports"	"Is the video a single or a pair match?"	"Singal match"	"['Attribute Recognition']"	"./video/n-spXyK3uIE.mp4"
"629"	"XNLyGhFdnHw"	"Sports"	"Is there anyone get hurt?"	"No one get hurt."	"['Event Recognition']"	"./video/XNLyGhFdnHw.mp4"
"630"	"XNLyGhFdnHw"	"Sports"	"How many metres did NAZAROV end up stilling hammer?"	"78.68 meters"	"['Attribute Recognition', 'OCR']"	"./video/XNLyGhFdnHw.mp4"
"631"	"Smk7QF5K2l8"	"Sports"	"Does Long Qingquan create a new world record?"	"Yes"	"['Event Recognition']"	"./video/Smk7QF5K2l8.mp4"
"632"	"qyOpdQO2__c"	"Sports"	"What sport are the athletes in the video playing?"	"Pole-vaulting"	"['Human Motion']"	"./video/qyOpdQO2__c.mp4"
"633"	"qyOpdQO2__c"	"Sports"	"Did the first man in the video to compete succeed or fail?"	"The first man failed."	"['Event Recognition']"	"./video/qyOpdQO2__c.mp4"
"634"	"qyOpdQO2__c"	"Sports"	"Does the American flag appear in the video?"	"Yes"	"['Object Recognition']"	"./video/qyOpdQO2__c.mp4"
"635"	"gPTYbZvURl4"	"Sports"	"Why did one athlete suddenly slow down?"	"He might have a cramp."	"['Causal Reasoning']"	"./video/gPTYbZvURl4.mp4"
"636"	"gPTYbZvURl4"	"Sports"	"A white guy ends up in first place, right?"	"No it was a black man who won the first place."	"['Event Recognition']"	"./video/gPTYbZvURl4.mp4"
"637"	"gPTYbZvURl4"	"Sports"	"Is that a relay race going on in the video?"	"No"	"['Attribute Recognition']"	"./video/gPTYbZvURl4.mp4"
"638"	"hxDn4EEMank"	"Sports"	"How many athletes appear in the video?"	"Only one."	"['Counting']"	"./video/hxDn4EEMank.mp4"
"639"	"E895PNqSgEI"	"Sports"	"The athlete on what lane won the race?"	"The athlete on what lane 3 won the race."	"['Attribute Recognition']"	"./video/E895PNqSgEI.mp4"
"640"	"_ne7Fj31a60"	"Sports"	"How many athletes fell?"	"Two athletes fell."	"['Counting']"	"./video/_ne7Fj31a60.mp4"
"641"	"Uw7ZIN9oVag"	"Instruction Video (how to ...)"	"After the eggs were cooked, where were they transferred to?"	"They were transfered to the ice bath."	"['Event Recognition', 'Object Recognition']"	"./video/Uw7ZIN9oVag.mp4"
"642"	"Uw7ZIN9oVag"	"Instruction Video (how to ...)"	"How many eggs is boiled in the video?"	"Six eggs is boiled in the video."	"['Counting']"	"./video/Uw7ZIN9oVag.mp4"
